,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,3.7440054256876465e-06,3.4447027701389743e-06,3.16574414682691e-06,3.69452936865855e-06,2.656161314007477e-06,3.7923166473774472e-06,3.0514368063450092e-06,3.3620931390032638e-06,3.27117913911934e-06,3.4364077237114543e-06,2.951614533230895e-06,2.8351937544357497e-06,3.662354174593929e-06,2.928723233708297e-06,2.3066179437591927e-06,3.427930323596229e-06
1,3.566210580174811e-06,3.4233046335430117e-06,2.758995833573863e-06,2.6953100586979417e-06,3.170946911268402e-06,3.6073186038265703e-06,3.7156487451284193e-06,2.5407080102013424e-06,2.7305165986035718e-06,3.1560675779473968e-06,2.8067925086361356e-06,3.05344565276755e-06,3.607342478062492e-06,3.788286448980216e-06,3.7189915929047856e-06,3.4610620787134394e-06
2,2.060397719105822e-06,3.340064495205297e-06,3.267584133936907e-06,2.889370762204635e-06,3.1529448278888594e-06,3.440253976805252e-06,3.456493232079083e-06,3.305877271486679e-06,3.4329389109188924e-06,3.152451654386823e-06,3.5580706025939435e-06,3.3773451377783203e-06,3.187118409186951e-06,3.5866714824805968e-06,3.4016270546999294e-06,2.886930587919778e-06
3,3.902237040165346e-06,2.327195716134156e-06,3.8702492020092905e-06,5.838609467900824e-06,3.5484945328789763e-06,3.884633770212531e-06,3.1945769478625152e-06,2.9803697998431744e-06,3.1884135296422755e-06,3.211138164260774e-06,3.5097832551400643e-06,4.652368261304218e-06,3.0660776246804744e-06,4.277771950000897e-06,3.02244302474719e-06,2.1024686702730833e-06
4,2.2010387965565315e-06,2.802523567879689e-06,2.9221112072264077e-06,3.1785857572685927e-06,3.1790043522050837e-06,3.2623097467876505e-06,5.834296189277666e-06,3.1953204597812146e-06,3.852223926514853e-06,3.7999700452928664e-06,3.3780311241571326e-06,2.952042223114404e-06,2.398770675426931e-06,3.098100933129899e-06,3.4488739402149804e-06,2.9975210509292083e-06
5,3.1796255370863946e-06,3.1776585274201352e-06,4.052130861964542e-06,3.1545300771540496e-06,3.7138242987566628e-06,3.2214593375101686e-06,2.810389787555323e-06,2.316273139513214e-06,2.1754749468527734e-06,4.814343355974415e-06,3.85610564990202e-06,3.455801106611034e-06,3.397632781343418e-06,3.1051201858645072e-06,3.2304956221196335e-06,2.435660690025543e-06
6,3.924993052351056e-06,2.926101842604112e-06,3.995873157691676e-06,2.830698122124886e-06,3.5138391467626207e-06,2.7189116735826246e-06,3.3043452276615426e-06,3.133771087959758e-06,4.402002559800167e-06,2.2710264602210373e-06,2.9531404379667947e-06,2.5227207061107038e-06,3.2709638162486954e-06,2.721464397836826e-06,4.387175067677163e-06,3.140242370136548e-06
7,3.496126737445593e-06,3.763386530408752e-06,2.695631337701343e-06,3.959437890443951e-06,3.680578629428055e-06,2.7685450731951278e-06,3.769834165723296e-06,2.292335466336226e-06,3.285426373622613e-06,5.9762292039522436e-06,2.482652689650422e-06,3.6332160107122036e-06,5.213707481743768e-06,3.0064188649703283e-06,1.8862772321881494e-06,3.6591702610166976e-06
8,2.9867289867979707e-06,2.9763930342596723e-06,3.328207640151959e-06,2.392839405729319e-06,3.1355950795841636e-06,3.7089753277541604e-06,3.0769242584938183e-06,3.56480950358673e-06,3.0147048164508305e-06,3.4639974728634115e-06,3.7618256101268344e-06,3.6942017231922364e-06,2.9686289053643122e-06,3.4851182135753334e-06,3.013313744304469e-06,2.7670218969433336e-06
9,5.2379532462509815e-06,3.3297437767032534e-06,2.462465999997221e-06,5.781571871921187e-06,2.5786862352106255e-06,2.6748170967039187e-06,3.280144710515742e-06,3.880013082380174e-06,3.968711098423228e-06,3.3333471947116777e-06,2.561821929703001e-06,3.3936332783923717e-06,2.7076298465544824e-06,3.0013454761501634e-06,2.39480732489028e-06,2.9201164579717442e-06
10,4.023918791062897e-06,4.878582785750041e-06,4.730172349809436e-06,3.800640797635424e-06,2.503580617485568e-06,2.3881975721451454e-06,3.71393070963677e-06,2.780886688924511e-06,2.5580379769962747e-06,3.1441711598745314e-06,3.5999230476591038e-06,2.72556280833669e-06,2.4127821234287694e-06,2.8372035103529925e-06,3.578542873583501e-06,3.267406555096386e-06
11,3.3706169233482797e-06,2.0726065486087464e-06,5.167961717233993e-06,2.186805204473785e-06,4.178578819846734e-06,2.6646582682587905e-06,3.108669488938176e-06,2.8166361971670995e-06,4.010762950201752e-06,2.0890315681754146e-06,4.428234660736052e-06,3.231857363061863e-06,5.050355412095087e-06,4.417116088006878e-06,2.572874336692621e-06,3.624857981776586e-06
12,3.7420848002511775e-06,3.845514584099874e-06,4.071825514984084e-06,3.3702601740515092e-06,3.1241359010891756e-06,3.404317567401449e-06,2.592042164906161e-06,2.380652858846588e-06,2.743562617979478e-06,2.876704002119368e-06,3.0831074582238216e-06,2.970322157125338e-06,3.133714699288248e-06,4.2756514631037135e-06,3.154915020786575e-06,3.541283831509645e-06
